3 4464, 4484, 2226, 2226, 2206, 2222, 2218, 2204, 2204, 2216, 2220, 2224, 4466, 2226, 4482, 4468,
4 2208, 2204, 4484, 2208, 2210, 2226, 2224, 2226, 2226, 2226, 2214, 2208, 2226, 2226, 4476, 4466,
5 4482, 2226, 4466, 2226, 2220, 2226, 2206, 2222, 2214, 2212, 2226, 2206, 4464, 4484, 2206, 4464,
6 2224, 4470, 4482, 2204, 2224, 2194, 2216, 2212, 2216, 2224, 2214, 2226, 2212, 4462, 2208, 4464,
7 4464, 4466, 4464, 2212, 2226, 2226, 2210, 2210, 2226, 2226, 2206, 2208, 4464, 2204, 2224, 4482,
8 2204, 2212, 2228, 4482, 2206, 2226, 2208, 2208, 2220, 2208, 2204, 2204, 2200, 2218, 2222, 4484,
9 4470, 2208, 2226, 4482, 2226, 2210, 2206, 2226, 2204, 2224, 2204, 2226, 4484, 4466, 4462, 2206,
0 2206, 2224, 2224, 2210, 2220, 2210, 2204, 2206, 2208, 2226, 2210, 2226, 2210, 2208, 2218, 2204,
* 2204, 4482, 2226, 2226, 2222, 2216, 4464, 2220, 2212, 2206, 2212, 2204, 2204, 4482, 2226, 4478,
# 2202, 2208, 2206, 2226, 2184, 2226, 4484, 2204, 2226, 2220, 2206, 2226, 2206, 2210, 4464, 4482,
pipPower 2226, 4480, 2208, 2220, 2180, 4484, 2220, 2226, 2226, 2224, 2208, 2206, 2226, 2224, 4484, 4484,
pipSwap 4468, 4462, 2226, 2208, 2226, 4442, 2206, 2204, 2216, 2208, 2210, 2206, 4462, 4464, 2226, 4482,
pipMove 2222, 2222, 4462, 2220, 2218, 4464, 2226, 2212, 2206, 2210, 2204, 2212, 2212, 4484, 2224, 4474,
pipPlus 4468, 2204, 4472, 2220, 2210, 4482, 2204, 2226, 2216, 2212, 2208, 2202, 4484, 2214, 2214, 4482,
pipMinus 2204, 4464, 4466, 2206, 2204, 4478, 2224, 2218, 2206, 2204, 2218, 2208, 2204, 2210, 2204, 4464,
pipSource 2226, 2210, 4470, 2222, 4480, 2208, 2208, 2226, 2208, 2222, 2206, 2208, 4462, 4466, 2222, 4460,
